replicate,M1_R2,M1_RMSE,M2_R2,M2_RMSE,M3_R2,M3_RMSE,delta_R2_M3_M1
46,0.4481486195027995,0.6104366369666802,0.20802220245747793,0.731283926381609,0.4589841205045625,0.6044140212645569,0.010835501001763004
47,0.4197713231348742,0.6148195764309258,0.1630664872652744,0.7384032030663105,0.4163543077867672,0.6166272809354942,-0.003417015348107011
48,0.47410378617178284,0.6062710517465453,0.24766290072673236,0.7251419817008635,0.4911583377271578,0.5963594991037496,0.01705455155537494
49,0.44984759897872606,0.610066460246914,0.1845701745610856,0.7427265335609767,0.44963051185950276,0.6101868128146173,-0.0002170871192233026
50,0.4830207351745799,0.6040949880752223,0.20640898826351628,0.7484573204209256,0.480338534742499,0.6056600485723395,-0.0026822004320808945
51,0.4442576941053862,0.6336447450319035,0.2401847778894397,0.7409059852043207,0.4574084332186005,0.6261027738805612,0.013150739113214294
52,0.4742021638585703,0.6035752953726395,0.22864051999572144,0.7310557023506816,0.4802520705224307,0.600092836237127,0.006049906663860405
53,0.449643142611997,0.6074426820598433,0.16951342399892322,0.7461899952568353,0.4479820030620236,0.6083587120832373,-0.0016611395499733783
54,0.439559367344026,0.6042151996603932,0.162621593368929,0.7385632904481866,0.4406686852197397,0.6036169215490648,0.0011093178757136668
55,0.4710824285504436,0.5990773508738929,0.21630163711841355,0.7292280621917424,0.4763857409424582,0.5960663916491807,0.0053033123920146474
56,0.46143742175219626,0.6122399602836439,0.2159878183932432,0.7386947131046602,0.46966874779789636,0.6075432439996039,0.008231326045700094
57,0.42951257945056276,0.6311135077199571,0.18231464815071285,0.7555749448514197,0.4382295113918985,0.6262733040935029,0.008716931941335715
58,0.4432345869650699,0.5991932804722108,0.19099873858401595,0.7222797009197134,0.4510195650798239,0.594989420508608,0.007784978114753982
59,0.470862215750533,0.6047350589935345,0.22738342033752212,0.7307398163824326,0.47811218483330264,0.6005778883404631,0.007249969082769647
60,0.44531373484352166,0.6168088108076925,0.19131248675181112,0.7447615228896911,0.4542194815222568,0.6118371981089824,0.008905746678735116
61,0.434626583888961,0.5826919676812984,0.18555447407078074,0.6993625301775075,0.44387166809531897,0.5779081907027069,0.009245084206357945
62,0.44238576148808206,0.6154468568211116,0.1667608939162366,0.7523301258292213,0.4478894477079979,0.6124020763204762,0.005503686219915815
63,0.4388541949251513,0.6011317793941267,0.1794208749652384,0.7269291089120915,0.4430247264737185,0.5988937562236448,0.004170531548567169
64,0.47562976298169013,0.5872753649363835,0.20984607203164063,0.720905963980143,0.48757148996246524,0.5805497054283824,0.011941726980775114
65,0.46076547045289507,0.5926057429118294,0.22342042217986324,0.7111643725773236,0.469419990944984,0.5878309523518154,0.008654520492088924
66,0.4576096073491045,0.6325763182814964,0.20821770341644352,0.764292906163118,0.4569592374577963,0.6329554597106122,-0.0006503698913081779
67,0.4047309785446821,0.619611269427812,0.2248859685870217,0.7070424131408067,0.4190249342959902,0.6121268280124091,0.014293955751308096
68,0.4346191015201949,0.5983846190870112,0.21619161552550314,0.7045548493978686,0.44994332600684916,0.590219529091709,0.01532422448665427
69,0.4396045157618196,0.5980763206238433,0.21437423979521875,0.7081367803358036,0.44927773968091445,0.5928920267632208,0.009673223919094864
70,0.4059498285755403,0.6090742994093354,0.18217596022954807,0.714642183250845,0.4142666128921011,0.604795709322578,0.008316784316560799
71,0.4411102798191169,0.6087524149156329,0.22964228229836592,0.7147001202824672,0.450312653904107,0.6037199203087454,0.00920237408499014
72,0.4135870552966324,0.6240799467530634,0.23956831209889906,0.710670939173782,0.43264253010539233,0.6138564764301063,0.01905547480875991
73,0.4958819551072984,0.5724390992802655,0.22715026273185723,0.708778768672748,0.49226880691089026,0.5744868483289851,-0.0036131481964081225
74,0.4781084630923671,0.5959822011637271,0.26107738098808797,0.7091574066107108,0.49719630651349034,0.5849818509698907,0.01908784342112324
