family,target,baseline_r2,candidate_r2,delta_r2
BFAS:BFAS:N:W,HEXACO:H:E:F,0.10693958776230739,0.10731267638365194,0.0003730886213445528
BFAS:BFAS:N:W,HEXACO:H:E:S,0.19663638411585616,0.19667573817566075,3.9354059804597163e-05
BFAS:BFAS:N:W,HEXACO:H:H:F,0.13801501008215,0.13793715590384614,-7.785417830385999e-05
BFAS:BFAS:N:W,HEXACO:H:H:GA,0.05288074217532435,0.05284786883249737,-3.287334282697785e-05
BFAS:BFAS:N:W,HEXACO:H:H:M,0.11358513195139752,0.11326413148569248,-0.0003210004657050458
BFAS:BFAS:N:W,HEXACO:H:H:S,0.07720717783885434,0.07708721801841567,-0.00011995982043866427
BFAS:BFAS:N:W,HEXACO:H:O:A,0.10231261577220807,0.1013714755358951,-0.0009411402363129762
BFAS:BFAS:N:W,HEXACO:H:O:C,0.06243052515054093,0.0657403757712427,0.003309850620701771
BFAS:BFAS:N:W,HEXACO:H:O:I,0.0921713710608858,0.0921265178768873,-4.485318399849447e-05
BFAS:BFAS:N:W,HEXACO:H:O:U,0.1311470239614887,0.13080594158395287,-0.0003410823775358285
BFAS:BFAS:N:W,HEXACO:H:X:E,0.1929985413918902,0.19307989835999695,8.135696810673831e-05
BFAS:BFAS:N:W,HEXACO:H:X:S,0.31083340722293984,0.31108965090576457,0.00025624368282473053
BFAS:BFAS:N:W,HEXACO:H:X:SB,0.257907519208754,0.25715835737560744,-0.0007491618331465499
BFAS:BFAS:N:W,IPIPneo:A1:TR,0.26263970873438724,0.2626450442053585,5.335470971257195e-06
BFAS:BFAS:N:W,IPIPneo:A2:MO,0.10686654091490899,0.10663176158054488,-0.00023477933436411025
BFAS:BFAS:N:W,IPIPneo:A3:AL,0.3935126294383855,0.39372605916590786,0.0002134297275223629
BFAS:BFAS:N:W,IPIPneo:A4:CO,0.13799348409540024,0.13765589809104584,-0.00033758600435440655
BFAS:BFAS:N:W,IPIPneo:A5:MO,0.14180637331319323,0.14113288696068083,-0.0006734863525124091
BFAS:BFAS:N:W,IPIPneo:A6:SY,0.1975583461306819,0.19725906379974945,-0.00029928233093245993
BFAS:BFAS:N:W,IPIPneo:C1:SE,0.337707668705878,0.3395590711943116,0.0018514024884336289
BFAS:BFAS:N:W,IPIPneo:C2:OR,0.13090407794205494,0.13030445160834858,-0.0005996263337063601
BFAS:BFAS:N:W,IPIPneo:C3:DU,0.2028142669598778,0.202820143256913,5.876297035189992e-06
BFAS:BFAS:N:W,IPIPneo:C4:AS,0.2621363107567529,0.26228517490748327,0.00014886415073034343
BFAS:BFAS:N:W,IPIPneo:C5:SD,0.31627141056904995,0.31805026506981915,0.0017788545007692003
BFAS:BFAS:N:W,IPIPneo:C6:CA,0.17177162190947504,0.17160443552288063,-0.000167186386594409
BFAS:BFAS:N:W,IPIPneo:E1:FR,0.464533567387563,0.46378263848679924,-0.0007509289007637809
BFAS:BFAS:N:W,IPIPneo:E2:GR,0.27902320707885664,0.2782635130072907,-0.0007596940715659528
BFAS:BFAS:N:W,IPIPneo:E3:AS,0.2324453152548268,0.23402443453618815,0.0015791192813613408
