model,K,resample,sample_seed,valid_starts,best_seed,ari_to_full,nmi_to_full
qwen,9,25,3027016,20,4118610,0.49485457191552507,0.650809448281409
qwen,9,26,3027017,20,4118704,0.4971504587903699,0.6884881500351272
qwen,9,27,3027018,20,4118801,0.47117082170190056,0.6132501914738412
qwen,9,28,3027019,20,4118899,0.5065393296098418,0.6835521899646673
qwen,9,29,3027020,20,4119011,0.5884062041361618,0.7211658855458608
qwen,9,30,3027021,20,4119103,0.8113218068635079,0.80303252061545
qwen,9,31,3027022,20,4119195,0.4991174817960291,0.6681758598789739
qwen,9,32,3027023,20,4119300,0.53031987382477,0.6471428278883308
qwen,9,33,3027024,20,4119409,0.6826096064912868,0.7403491658082405
qwen,9,34,3027025,20,4119504,0.6115486493617416,0.7420395274398163
qwen,9,35,3027026,20,4119599,0.5135477582694606,0.6179605574343808
qwen,9,36,3027027,20,4119706,0.5744620346755555,0.7087075960762628
qwen,9,37,3027028,20,4119801,0.6637975117135412,0.6860438116996641
qwen,9,38,3027029,20,4119897,0.6808354062222398,0.7596313632374389
qwen,9,39,3027030,20,4119995,0.5484807187692402,0.703166125972626
qwen,9,40,3027031,20,4120105,0.5913838980058125,0.7137835672100857
qwen,9,41,3027032,20,4120206,0.5412306284756303,0.7053222637576704
qwen,9,42,3027033,20,4120295,0.6719298604689241,0.7513255731231889
qwen,9,43,3027034,20,4120400,0.5941098538734962,0.7299179012492809
qwen,9,44,3027035,20,4120506,0.6044003755691845,0.6947046043405626
qwen,9,45,3027036,20,4120611,0.4604817136206383,0.6249156662001437
qwen,9,46,3027037,20,4120711,0.7814395294123789,0.750823668963874
qwen,9,47,3027038,20,4120794,0.8202656883168664,0.8189763092201188
qwen,9,48,3027039,20,4120908,0.8442981305747949,0.8406324192939162
qwen,9,49,3027040,20,4121006,0.5404852086904253,0.6856864549703356
qwen,9,50,3027041,20,4121100,0.6997387341832465,0.7455300006356587
qwen,10,1,3027092,20,4126208,0.5291429285592297,0.6587989387224794
qwen,10,2,3027093,20,4126307,0.5197240972557626,0.712886600350219
qwen,10,3,3027094,20,4126401,0.6633603945671886,0.7360818565916244
qwen,10,4,3027095,20,4126496,0.8283961502011901,0.8360193932404575
qwen,10,5,3027096,20,4126608,0.5254945512191262,0.6477432844874323
qwen,10,6,3027097,20,4126697,0.4417932858781719,0.6128236919636098
qwen,10,7,3027098,20,4126794,0.44615750635005663,0.6209710066365741
qwen,10,8,3027099,20,4126909,0.7400298893446121,0.7542506899748908
qwen,10,9,3027100,20,4127009,0.6640217290037768,0.7319599453560495
qwen,10,10,3027101,20,4127105,0.7881222540445243,0.7976490201236868
