model,persona,direct_trait_hifwb_score,within_model_percentile
Llama,mathematician,0.17220376931240317,44.72727272727273
Llama,maverick,-0.2817793756474614,24.363636363636363
Llama,mechanic,-0.5035347476376695,14.545454545454545
Llama,mediator,0.49771184810638,88.36363636363636
Llama,mentor,0.49818341969665103,88.72727272727273
Llama,merchant,0.25819773425452863,57.81818181818181
Llama,minimalist,0.1685142027982201,44.0
Llama,moderator,0.4289835536867616,80.72727272727272
Llama,musician,0.19653458213565822,49.81818181818182
Llama,mycorrhizal,0.3040312060722718,64.72727272727272
Llama,mystic,0.600338094660869,94.18181818181817
Llama,narcissist,-1.5213937259270247,4.0
Llama,narrator,0.21558895673125744,53.090909090909086
Llama,naturalist,0.38774254927576474,76.0
Llama,navigator,0.4097579280647542,77.81818181818181
Llama,negotiator,0.5026417316592561,89.45454545454545
Llama,networker,0.5398457248052313,92.0
Llama,newlywed,-0.02571509556494111,34.18181818181818
Llama,nomad,0.1611326760259261,43.27272727272727
Llama,novelist,0.20258107334648912,51.272727272727266
Llama,nutritionist,0.36279746594269796,72.72727272727273
Llama,observer,0.1975878005035725,50.18181818181818
Llama,optimist,0.6917964672090515,98.9090909090909
Llama,oracle,0.28724037479252745,61.45454545454545
Llama,organizer,0.41505615196077683,78.18181818181819
Llama,orphan,-0.39043751766847273,19.272727272727273
Llama,pacifist,0.6520871356348338,97.45454545454545
Llama,paramedic,0.1094820936306077,38.54545454545455
Llama,parasite,-0.3326498159476701,21.818181818181817
Llama,parent,-0.06596315541388215,32.36363636363636
Llama,patient,-0.4506207503409929,16.363636363636363
Llama,peacekeeper,0.6160361114858998,95.27272727272728
Llama,perfectionist,-0.16218179315877648,28.363636363636363
Llama,pharmacist,0.29210828329274835,62.18181818181818
Llama,philosopher,0.19858490552475988,50.54545454545455
Llama,photographer,0.20816644456697905,52.36363636363637
Llama,physicist,0.20665482639594987,52.0
Llama,pilgrim,0.6014850973202401,94.54545454545455
Llama,pilot,0.13640682480574476,40.0
Llama,pirate,-1.0231829924773144,7.636363636363637
Llama,planner,0.38157069842437547,74.90909090909092
